INFO - Connection ready
INFO - DB loaded
INFO - Read in line: 100000
INFO - Read in line: 200000
INFO - Read in line: 300000
INFO - Read in line: 400000
INFO - Read in line: 500000
INFO - Read in line: 600000
INFO - Read in line: 700000
INFO - Read in line: 800000
INFO - Read in line: 900000
INFO - Read in line: 1000000
INFO - Read in line: 1100000
INFO - Read in line: 1200000
INFO - Read in line: 1300000
INFO - Read in line: 1400000
INFO - Read in line: 1500000
INFO - Read in line: 1600000
INFO - Read in line: 1700000
INFO - Read in line: 1800000
INFO - Read in line: 1900000
INFO - Read in line: 2000000
INFO - Read in line: 2100000
INFO - Read in line: 2200000
INFO - Read in line: 2300000
INFO - Read in line: 2400000
INFO - Read in line: 2500000
INFO - Read in line: 2600000
INFO - Read in line: 2700000
INFO - Read in line: 2800000
INFO - Read in line: 2900000
INFO - Read in line: 3000000
INFO - Read in line: 3100000
INFO - Read in line: 3200000
INFO - Read in line: 3300000
INFO - Read in line: 3400000
INFO - Read in line: 3500000
INFO - Read in line: 3600000
INFO - Read in line: 3700000
INFO - Read in line: 3800000
INFO - Read in line: 3900000
INFO - Read in line: 4000000
INFO - Read in line: 4100000
INFO - Read in line: 4200000
INFO - Read in line: 4300000
INFO - Read in line: 4400000
INFO - Read in line: 4500000
INFO - Read in line: 4600000
INFO - Read in line: 4700000
INFO - Read in line: 4800000
INFO - Read in line: 4900000
INFO - Read in line: 5000000
INFO - Read in line: 5100000
INFO - Read in line: 5200000
INFO - Read in line: 5300000
INFO - Read in line: 5400000
INFO - Read in line: 5500000
INFO - Results consumed
INFO - Projects compared
INFO - Dependencies FOUND: 2044401, Not FOUND: 2800218

INFO - Got project pairs
WARN - :io.reactivex.rxjava2:rxjava is null
WARN - :org.jetbrains.kotlin:kotlin-stdlib is null
INFO - There were 226911 pairs where both use semantic versioning
INFO - There were 2912 pairs that were discarded as they don't use semantic versioning
INFO - Dates size: 771
TRACE - Date: 2015-01-30 	 Number: 6935
TRACE - Date: 2015-02-07 	 Number: 35777
TRACE - Date: 2015-02-08 	 Number: 262
TRACE - Date: 2015-02-09 	 Number: 6959
TRACE - Date: 2015-02-11 	 Number: 384
TRACE - Date: 2015-02-13 	 Number: 48
TRACE - Date: 2015-02-15 	 Number: 953
TRACE - Date: 2015-02-16 	 Number: 120
TRACE - Date: 2015-02-17 	 Number: 264
TRACE - Date: 2015-02-19 	 Number: 6523
TRACE - Date: 2015-02-20 	 Number: 9481
TRACE - Date: 2015-02-23 	 Number: 27
TRACE - Date: 2015-02-24 	 Number: 6
TRACE - Date: 2015-02-25 	 Number: 1024
TRACE - Date: 2015-02-26 	 Number: 12
TRACE - Date: 2015-02-27 	 Number: 10
TRACE - Date: 2015-03-02 	 Number: 720
TRACE - Date: 2015-03-07 	 Number: 77
TRACE - Date: 2015-03-08 	 Number: 1184
TRACE - Date: 2015-03-09 	 Number: 5
TRACE - Date: 2015-03-14 	 Number: 63
TRACE - Date: 2015-03-15 	 Number: 39
TRACE - Date: 2015-03-16 	 Number: 34
TRACE - Date: 2015-03-20 	 Number: 2240
TRACE - Date: 2015-03-21 	 Number: 30
TRACE - Date: 2015-03-22 	 Number: 436
TRACE - Date: 2015-03-23 	 Number: 19
TRACE - Date: 2015-03-30 	 Number: 1122
TRACE - Date: 2015-04-01 	 Number: 238
TRACE - Date: 2015-04-02 	 Number: 647
TRACE - Date: 2015-04-03 	 Number: 938
TRACE - Date: 2015-04-04 	 Number: 341
TRACE - Date: 2015-04-06 	 Number: 7
TRACE - Date: 2015-04-11 	 Number: 20
TRACE - Date: 2015-04-20 	 Number: 31
TRACE - Date: 2015-04-21 	 Number: 4800
TRACE - Date: 2015-04-24 	 Number: 162
TRACE - Date: 2015-04-26 	 Number: 238
TRACE - Date: 2015-04-28 	 Number: 524
TRACE - Date: 2015-05-03 	 Number: 14
TRACE - Date: 2015-05-05 	 Number: 8
